,Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI
405,WP_000818411.1,2.5.1.16,Escherichia coli,R406,Spermidine synthase,R01920,MRL,C00134; C01137,C00170; C00315,Km_C00170: 0.007068458; Km_C00315: 0.046560574; Km_C00134: 0.0778; Km_C01137: 0.0022,Kcat_F: 1.4079801575; Kcat_R: 1.243528914,C00750;C00170;C01672;C00315;C16565;C00134;C01137,C00170_KI: 0.007068458;C01672_KI: 0.058677047;C00750_KI: 0.038445462;C00134_KI: 0.053713869;C00315_KI: 0.046560574;C16565_KI: 0.035791408999999996;C01137_KI: 0.010283044
409,WP_000998544.1,2.6.1.33,Escherichia coli,R410,"Dtdp-4-amino-4,6-dideoxy-d-glucose transaminase",R02772,MRL,C00010; C00026; C06018,C00024; C00025; C11907,Km_C00024: 0.04753641; Km_C00025: 1.799565077; Km_C11907: 0.0458; Km_C00010: 0.069717444; Km_C00026: 0.22; Km_C06018: 0.161368743,Kcat_F: 5.776223808; Kcat_R: 5.898344561999999,C00025;C11907;C00024;C04268;C00026;C06018;C00010,C00010_KI: 0.069717444;C11907_KI: 0.43105266249999996;C00024_KI: 0.04753641;C04268_KI: 0.140812144;C06018_KI: 0.161368743;C00026_KI: 0.367316157;C00025_KI: 1.799565077
410,WP_000872833.1,1.5.3.2,Escherichia coli,R411,N-methyl-l-amino-acid oxidase,R01264,MRL,C00001; C00007; C03148,C00027; C00067; C00151,Km_C00027: 2.760163307; Km_C00067: 0.544002056; Km_C00151: 1.1904533320000001; Km_C00001: 1.326961756; Km_C00007: 0.130686209; Km_C03148: 1.1904533320000001,Kcat_F: 16.2284910415; Kcat_R: 237.231546939,C03148;C00151;C00027;C00001;C00007;C00067,C03148_KI: 1.1904533320000001;C00151_KI: 1.1904533320000001;C00001_KI: 1.326961756;C00027_KI: 2.760163307;C00067_KI: 0.544002056;C00007_KI: 0.130686209
411,WP_001298007.1,3.6.1.23,Escherichia coli,R412,Dutp diphosphatase,R02100,MRL,C00001; C00460,C00013; C00365,Km_C00013: 0.040756058; Km_C00365: 0.044575993; Km_C00001: 0.389789045; Km_C00460: 3333.50031,Kcat_F: 5.8681589065; Kcat_R: 0.1648038755,C00001;C00365;C00013;C00460,C00001_KI: 0.389789045;C00460_KI: 0.028080966;C00365_KI: 0.044575993;C00013_KI: 0.040756058
412,WP_000166449.1,1.20.4.1,Escherichia coli,R413,Arsenate reductase (glutathione/glutaredoxin),R05747,MRL,C07292; C11215,C06697; C07293,Km_C06697: 2.247138977; Km_C07293: 3.515712992333333; Km_C07292: 0.3; Km_C11215: 8.0,Kcat_F: 0.09; Kcat_R: 36.94316617111479,C07292;C11215;C07293;C06697,C06697_KI: 2.247138977;C07293_KI: 2.247138977;C11215_KI: 2.247138977;C07292_KI: 2.247138977
413,WP_000785116.1,6.3.2.13,Escherichia coli,R414,"Udp-n-acetylmuramoyl-l-alanyl-d-glutamate-2,6-diaminopimelate ligase",R02788,MRL,C00002; C00680; C00692,C00008; C00009; C04877,Km_C00008: 0.081256479; Km_C00009: 0.492516607; Km_C04877: 0.063764334; Km_C00002: 0.077707916; Km_C00680: 3.9; Km_C00692: 0.0555,Kcat_F: 0.4468866523333333; Kcat_R: 0.5257426553333333,C00692;C00008;C04877;C00002;C00009;C00680,C00692_KI: 0.066973016;C00008_KI: 0.081256479;C00002_KI: 0.077707916;C00680_KI: 0.065323465;C04877_KI: 0.063764334;C00009_KI: 0.492516607
414,WP_001284618.1,1.8.4.12,Escherichia coli,R415,Peptide-methionine (r)-s-oxide reductase,R07607,MRL,C00001; C00343; C03023,C00342; C15653,Km_C00342: 0.2629544445; Km_C15653: 0.010300459; Km_C00001: 0.51560843; Km_C00343: 0.2629544445; Km_C03023: 0.2629544445,Kcat_F: 4.026646169; Kcat_R: 6.745091725,C00343;C00342;C00001;C15653;C03023,C15653_KI: 0.010300459;C03023_KI: 0.2629544445;C00001_KI: 0.51560843;C00342_KI: 0.2629544445;C00343_KI: 0.2629544445
415,WP_000473109.1,2.8.1.1,Escherichia coli,R416,Thiosulfate sulfurtransferase,R01931,MRL,C00177; C00320,C00094; C01755,Km_C00094: 0.461084336; Km_C01755: 0.89351809; Km_C00177: 0.354361653; Km_C00320: 1.142263889,Kcat_F: 1.188539407; Kcat_R: 1.502503157,C01755;C00177;C00320;C00094,C00177_KI: 0.354361653;C01755_KI: 0.89351809;C00094_KI: 0.461084336;C00320_KI: 1.142263889
416,WP_000197884.1,5.1.1.1,Escherichia coli,R417,Alanine racemase,R00401,MRL,C00041,C00133,Km_C00133: 0.6595; Km_C00041: 2.551930666,Kcat_F: 51.50888688; Kcat_R: 5.783,C00133;C00041,C00041_KI: 2.551930666;C00133_KI: 2.551930666
417,WP_001354020.1,2.5.1.61,Escherichia coli,R418,Hydroxymethylbilane synthase,R00084,MRL,C00001; C00931,C00014; C01024,Km_C00014: 0.885923684; Km_C01024: 0.003699619; Km_C00001: 0.324522942; Km_C00931: 0.015272492,Kcat_F: 0.9226052755; Kcat_R: 14.98008742,C00014;C00001;C01024;C00931,C00931_KI: 0.015272492;C00014_KI: 0.885923684;C00001_KI: 0.324522942;C01024_KI: 0.003699619
418,WP_000765749.1,2.5.1.18,Escherichia coli,R419,Glutathione transferase,R03522,MRL,C00051; C01322,C00462; C02320,Km_C00462: 0.223690674; Km_C02320: 0.223690674; Km_C00051: 0.223690674; Km_C01322: 0.223690674,Kcat_F: 3.716250068; Kcat_R: 36.94316617111479,C00462;C14856;C14848;C00001;C14786;C14787;C00051;C14864;C01327;C14847;C14858;C14861;C14804;C14800;C14802;C14870;C11278;C06790;C11583;C19586;C11088;C14806;C14855;C14792;C14791;C16738;C14851;C14863;C07645;C02320;C14871;C14793;C14874;C00726;C01326;C14865;C14839;C14857;C14859;C14805;C14803;C01322;C14852;C00059;C13645;C14868;C14840;C00080,C14870_KI: 0.40474194772727273;C14865_KI: 0.40474194772727273;C16738_KI: 0.025583422;C00462_KI: 0.40474194772727273;C14806_KI: 0.40474194772727273;C11583_KI: 0.118064001;C14848_KI: 0.40474194772727273;C14847_KI: 0.40474194772727273;C07645_KI: 0.089868411;C14858_KI: 0.40474194772727273;C14852_KI: 0.40474194772727273;C02320_KI: 0.40474194772727273;C11088_KI: 0.40474194772727273;C19586_KI: 0.036043528;C00080_KI: 0.496289641;C14804_KI: 0.40474194772727273;C01327_KI: 0.498653144;C14855_KI: 0.40474194772727273;C14871_KI: 0.40474194772727273;C14786_KI: 0.40474194772727273;C01322_KI: 0.40474194772727273;C00059_KI: 0.806556165;C14864_KI: 0.40474194772727273;C00051_KI: 0.223690674;C14800_KI: 0.40474194772727273;C11278_KI: 0.40474194772727273;C14802_KI: 0.40474194772727273;C14787_KI: 0.40474194772727273;C14868_KI: 0.40474194772727273;C14805_KI: 0.40474194772727273;C13645_KI: 0.40474194772727273;C14857_KI: 0.40474194772727273;C06790_KI: 0.37816146;C14839_KI: 0.40474194772727273;C14859_KI: 0.40474194772727273;C14861_KI: 0.40474194772727273;C00726_KI: 0.40474194772727273;C14791_KI: 0.40474194772727273;C14840_KI: 0.40474194772727273;C14793_KI: 0.40474194772727273;C14803_KI: 0.40474194772727273;C14792_KI: 0.40474194772727273;C14851_KI: 0.40474194772727273;C00001_KI: 0.51449573;C14863_KI: 0.40474194772727273;C14856_KI: 0.40474194772727273;C14874_KI: 0.40474194772727273;C01326_KI: 1.264755249
442,WP_000301651.1,1.1.1.1,Escherichia coli,R443,Alcohol dehydrogenase,R00623,MRL,C00003; C00226,C00004; C00071; C00080,Km_C00004: 0.040233176; Km_C00071: 0.236646544; Km_C00080: 0.569533765; Km_C00003: 0.100172691; Km_C00226: 0.236646544,Kcat_F: 19.69812441; Kcat_R: 29.55534931,C00006;C16596;C00003;C16348;C14099;C16551;C00001;C00473;C00226;C00576;C06899;C14089;C16595;C00114;C06611;C00084;C16587;C00071;C05444;C07645;C00376;C02909;C00069;C00469;C05577;C05445;C06612;C14090;C01450;C00004;C06613;C05576;C00005;C01612;C07490;C16586;C00080,C05577_KI: 0.031521235;C07490_KI: 0.422074109;C00005_KI: 0.027593218;C00469_KI: 1.817483544;C00114_KI: 0.409143209;C00080_KI: 0.569533765;C14090_KI: 0.3609184830434783;C16586_KI: 0.3609184830434783;C00226_KI: 0.3609184830434783;C00071_KI: 0.3609184830434783;C06613_KI: 0.273868203;C00576_KI: 0.884440184;C16595_KI: 0.3609184830434783;C05576_KI: 0.040941942;C00006_KI: 0.054585926;C06899_KI: 0.325467169;C00003_KI: 0.100172691;C14099_KI: 0.3609184830434783;C06612_KI: 0.501385033;C14089_KI: 0.3609184830434783;C00376_KI: 0.013742472;C16587_KI: 0.3609184830434783;C06611_KI: 0.501385033;C00084_KI: 1.347845793;C00473_KI: 0.012423662;C05445_KI: 0.028241014;C01612_KI: 0.3609184830434783;C00001_KI: 0.799757719;C00004_KI: 0.040233176;C07645_KI: 0.046729211;C02909_KI: 0.02196078;C16551_KI: 0.3609184830434783;C16596_KI: 0.3609184830434783;C01450_KI: 0.3609184830434783;C05444_KI: 0.030596022;C00069_KI: 0.3609184830434783;C16348_KI: 0.3609184830434783
459,WP_000137657.1,4.1.1.37,Escherichia coli,R460,Uroporphyrinogen decarboxylase,R03197,MRL,C01051,C00011; C03263,Km_C00011: 0.231183484; Km_C03263: 0.005173983; Km_C01051: 0.005674717,Kcat_F: 8.042502141; Kcat_R: 4.676016896,C05766;C01051;C05768;C03263;C00011,C05768_KI: 0.005173983;C00011_KI: 0.231183484;C01051_KI: 0.005674717;C03263_KI: 0.005173983;C05766_KI: 0.005674717
461,WP_001297412.1,2.6.99.2,Escherichia coli,R462,Pyridoxine 5'-phosphate synthase,R05838,MRL,C11437; C11638,C00001; C00009; C00627,Km_C00001: 1.411247253; Km_C00009: 1.071790934; Km_C00627: 0.031514391; Km_C11437: 0.8381841926666667; Km_C11638: 0.8381841926666667,Kcat_F: 36.94316617111479; Kcat_R: 10.956625146666667,C11638;C11437;C00001;C00009;C00627,C11437_KI: 0.8381841926666667;C00627_KI: 0.031514391;C00009_KI: 1.071790934;C00001_KI: 1.411247253;C11638_KI: 0.8381841926666667
462,WP_000781063.1,4.2.3.1,Escherichia coli,R463,Threonine synthase,R01466,MRL,C00001; C01102,C00009; C00188,Km_C00009: 1.868194342; Km_C00188: 0.748228312; Km_C00001: 1.819163442; Km_C01102: 0.5,Kcat_F: 4.527957945; Kcat_R: 0.25441560550000003,C06055;C00001;C06056;C01102;C00188;C00009,C00001_KI: 1.819163442;C06055_KI: 0.401372015;C01102_KI: 0.503023028;C00009_KI: 1.868194342;C06056_KI: 1.288261533;C00188_KI: 0.748228312
464,WP_000806177.1,2.4.2.10,Escherichia coli,R465,Orotate phosphoribosyltransferase,R01870,MRL,C00013; C01103,C00119; C00295,Km_C00119: 0.039; Km_C00295: 0.0246075; Km_C00013: 0.013; Km_C01103: 0.0033499999999999997,Kcat_F: 3.9538756409999998; Kcat_R: 5.129216341,C07649;C00013;C00119;C16634;C00295;C01103,C00119_KI: 0.043476243;C07649_KI: 0.02445212;C00295_KI: 0.0246075;C16634_KI: 0.033992504199999996;C01103_KI: 0.02659604;C00013_KI: 0.050830618
466,WP_000857508.1,2.7.7.24,Escherichia coli,R467,Glucose-1-phosphate thymidylyltransferase,R02328,MRL,C00103; C00459,C00013; C00842,Km_C00013: 0.154; Km_C00842: 0.095; Km_C00103: 0.034; Km_C00459: 0.0205,Kcat_F: 0.49273310150000005; Kcat_R: 0.32934390500000005,C00103;C00013;C00459;C00842,C00103_KI: 0.08188989;C00842_KI: 0.068997838;C00013_KI: 0.113713257;C00459_KI: 0.040694553
467,WP_001319167.1,3.2.1.86,Escherichia coli,R468,6-phospho-beta-glucosidase,R00839,MRL,C00001; C04534,C00031; C00092,Km_C00031: 11.69155884; Km_C00092: 2.152008057; Km_C00001: 4.800985813; Km_C04534: 1.367322803,Kcat_F: 2.239574308; Kcat_R: 2.5617307365,C00530;C04534;C02323;C01172;C00001;C00092;C00031;C06188;C06187,C04534_KI: 1.367322803;C06187_KI: 0.264245123;C00530_KI: 0.123504587;C00031_KI: 11.69155884;C00001_KI: 4.800985813;C02323_KI: 0.160274401;C00092_KI: 2.152008057;C01172_KI: 2.152008057;C06188_KI: 0.247454509
470,WP_012767740.1,1.1.1.23,Escherichia coli,R471,Histidinol dehydrogenase,R01158,MRL,C00001; C00003; C00860,C00004; C00080; C00135,Km_C00004: 0.074691504; Km_C00080: 1.283319831; Km_C00135: 0.307249427; Km_C00001: 1.913829327; Km_C00003: 0.198191151; Km_C00860: 0.170614094,Kcat_F: 16.91198426; Kcat_R: 59.60342936000001,C00003;C00004;C00001;C01929;C00135;C00860;C00080,C00004_KI: 0.074691504;C00003_KI: 0.198191151;C00860_KI: 0.170614094;C00135_KI: 0.307249427;C00001_KI: 1.913829327;C00080_KI: 1.283319831;C01929_KI: 0.236634284
473,WP_000796481.1,6.3.2.9,Escherichia coli,R474,Udp-n-acetylmuramoyl-l-alanine-d-glutamate ligase,R02783,MRL,C00002; C00217; C01212,C00008; C00009; C00692,Km_C00008: 0.042101204; Km_C00009: 0.19209297; Km_C00692: 0.059616707; Km_C00002: 0.035595838; Km_C00217: 0.09464285714285715; Km_C01212: 0.106443852,Kcat_F: 11.054307696666667; Kcat_R: 16.208798606666665,C00692;C00008;C00217;C00002;C01212;C00009,C00009_KI: 0.19209297;C00217_KI: 0.214108363;C01212_KI: 0.106443852;C00008_KI: 0.042101204;C00002_KI: 0.035595838;C00692_KI: 0.059616707
475,WP_000584546.1,6.3.2.12,Escherichia coli,R476,Dihydrofolate synthase,R01654,MRL,C00002; C00025; C00234,C00008; C00009; C05928,Km_C00008: 0.025629699; Km_C00009: 0.527247429; Km_C05928: 0.018879184; Km_C00002: 0.017911417; Km_C00025: 0.67721951; Km_C00234: 0.018488349,Kcat_F: 0.462520528; Kcat_R: 0.4516578293333333,C00025;C00415;C00008;C00234;C00002;C00009;C00921;C05928,C00234_KI: 0.018488349;C05928_KI: 0.018879184;C00415_KI: 0.008226737;C00025_KI: 0.67721951;C00921_KI: 0.004285821;C00009_KI: 0.527247429;C00002_KI: 0.017911417;C00008_KI: 0.025629699
476,WP_001295331.1,1.5.1.2,Escherichia coli,R477,Pyrroline-5-carboxylate reductase,R01248,MRL,C00003; C00148,C00004; C00080; C03912,Km_C00004: 0.23; Km_C00080: 1.647054195; Km_C03912: 0.34; Km_C00003: 0.185778424; Km_C00148: 0.998702407,Kcat_F: 2.377788702; Kcat_R: 1.857720866,C00006;C00148;C00003;C01157;C00004;C04281;C00005;C03912;C00080,C00003_KI: 0.185778424;C00148_KI: 0.998702407;C01157_KI: 1.28434813;C00004_KI: 0.073493846;C00005_KI: 0.055064693;C03912_KI: 0.650179744;C04281_KI: 1.133739352;C00006_KI: 0.101795919;C00080_KI: 1.647054195
480,WP_001100801.1,5.1.3.13,Escherichia coli,R481,"Dtdp-4-dehydrorhamnose 3,5-epimerase",R06514,MRL,C11907,C00688,Km_C00688: 0.055028126; Km_C11907: 0.025,Kcat_F: 36.94316617111479; Kcat_R: 15.91111363,C00688;C11907,C11907_KI: 0.055028126;C00688_KI: 0.055028126
481,WP_001295412.1,4.1.2.4,Escherichia coli,R482,Deoxyribose-phosphate aldolase,R01066,MRL,C00673,C00084; C00118,Km_C00084: 1.7; Km_C00118: 0.358228832; Km_C00673: 43.57866666666666,Kcat_F: 41.5; Kcat_R: 0.090132475,C00673;C00084;C00118,C00084_KI: 1.985678434;C00673_KI: 0.60923934;C00118_KI: 0.358228832
483,WP_001043882.1,1.8.4.14,Escherichia coli,R484,L-methionine (r)-s-oxide reductase,R02025,MRL,C00001; C00073; C00343,C00342; C02989,Km_C00342: 0.0098; Km_C02989: 1.181917906; Km_C00001: 1.826364756; Km_C00073: 1.166482568; Km_C00343: 1.0461413075000001,Kcat_F: 4.9679826045; Kcat_R: 5.827139264,C00343;C00342;C00001;C15998;C00073;C02989,C00001_KI: 1.826364756;C02989_KI: 1.181917906;C00343_KI: 1.39158841;C15998_KI: 1.39158841;C00073_KI: 1.166482568;C00342_KI: 1.39158841
484,WP_000935370.1,1.2.1.38,Escherichia coli,R485,N-acetyl-gamma-glutamyl-phosphate reductase,R03443,MRL,C00006; C00009; C01250,C00005; C00080; C04133,Km_C00005: 0.048804019; Km_C00080: 2.173709393; Km_C04133: 0.529830992; Km_C00006: 0.17; Km_C00009: 2.045622349; Km_C01250: 0.6,Kcat_F: 18.037267411666665; Kcat_R: 25.260162694999998,C00006;C01250;C04133;C00005;C00009;C00080,C00009_KI: 2.045622349;C00006_KI: 0.093573503;C00080_KI: 2.173709393;C04133_KI: 0.529830992;C01250_KI: 0.747783542;C00005_KI: 0.048804019
485,WP_000626688.1,6.3.2.10,Escherichia coli,R486,Udp-n-acetylmuramoyl-tripeptide-d-alanyl-d-alanine ligase,R04573,MRL,C00002; C00993; C05892,C00008; C00009; C04702,Km_C00008: 0.06274683; Km_C00009: 0.264670789; Km_C04702: 0.076567553; Km_C00002: 0.057988044; Km_C00993: 0.175912499; Km_C05892: 0.076851323,Kcat_F: 14.989323533333334; Kcat_R: 15.11021727,C00008;C05892;C04882;C00002;C04877;C00993;C04702;C00009,C04877_KI: 0.07741981;C05892_KI: 0.076851323;C04882_KI: 0.075850636;C00993_KI: 0.175912499;C00008_KI: 0.06274683;C00009_KI: 0.264670789;C00002_KI: 0.057988044;C04702_KI: 0.076567553
488,WP_000486988.1,2.6.1.57,Escherichia coli,R489,Aromatic-amino-acid transaminase,R01731,MRL,C00036; C00826,C00049; C00254,Km_C00049: 2.391444206; Km_C00254: 0.201490313; Km_C00036: 3.465; Km_C00826: 0.346813947,Kcat_F: 402.80647095; Kcat_R: 337.96564494999996,C00025;C00972;C01179;C00082;C00826;C00166;C01180;C00079;C00026;C00036;C01021;C00254;C00049;C00073,C01180_KI: 1.284476519;C00073_KI: 1.71113801;C00036_KI: 0.433308303;C00972_KI: 0.9302305559166667;C00049_KI: 2.391444206;C00254_KI: 0.201490313;C01021_KI: 0.9302305559166667;C01179_KI: 0.110603712;C00079_KI: 0.317666709;C00166_KI: 0.129698142;C00026_KI: 1.154019117;C00025_KI: 2.838407993;C00082_KI: 0.2436997;C00826_KI: 0.346813947
490,WP_000042632.1,2.8.1.8,Escherichia coli,R491,Lipoyl synthase,R07767,MRL,C00019; C16236; C17023,C00073; C05198; C16237,Km_C00073: 0.423570335; Km_C05198: 0.014558306; Km_C16237: 0.009078398; Km_C00019: 0.010436235; Km_C16236: 0.014390675; Km_C17023: 0.09440678980000002,Kcat_F: 3.7484935925; Kcat_R: 5.799854642,C00019;C16236;C17023;C05198;C16239;C00073;C05752;C16237,C00073_KI: 0.423570335;C16236_KI: 0.014390675;C00019_KI: 0.010436235;C16239_KI: 0.007942635;C05752_KI: 0.07999609733333334;C05198_KI: 0.014558306;C16237_KI: 0.009078398;C17023_KI: 0.07999609733333334
492,WP_001175605.1,4.2.1.126,Escherichia coli,R493,N-acetylmuramic acid 6-phosphate etherase,R08555,MRL,C00001; C16698,C00256; C00357,Km_C00256: 0.8525545; Km_C00357: 0.382651031; Km_C00001: 2.802792788; Km_C16698: 3.0,Kcat_F: 3.9479614300000003; Kcat_R: 5.1339529905,C00001;C00256;C16698;C00357,C16698_KI: 1.3459994396666666;C00256_KI: 0.8525545;C00357_KI: 0.382651031;C00001_KI: 2.802792788
493,WP_001257000.1,2.7.4.9,Escherichia coli,R494,Dtmp kinase,R02094,MRL,C00002; C00364,C00008; C00363,Km_C00008: 0.237068936; Km_C00363: 0.275345057; Km_C00002: 0.130983248; Km_C00364: 0.015,Kcat_F: 10.6156473095; Kcat_R: 10.648633546500001,C00364;C01346;C00008;C00365;C00002;C00363,C00002_KI: 0.130983248;C01346_KI: 0.378050297;C00364_KI: 0.390020937;C00363_KI: 0.275345057;C00008_KI: 0.237068936;C00365_KI: 0.419534981
495,WP_000013046.1,2.1.3.2,Escherichia coli,R496,Aspartate carbamoyltransferase,R01397,MRL,C00049; C00169,C00009; C00438,Km_C00009: 0.93515873; Km_C00438: 0.47019425; Km_C00049: 1.074508667; Km_C00169: 13.84,Kcat_F: 5.618793287; Kcat_R: 4.6381394395,C00049;C00009;C00438;C00169,C00438_KI: 0.47019425;C00049_KI: 1.074508667;C00169_KI: 0.09070953;C00009_KI: 0.93515873
496,WP_000985549.1,3.1.3.23,Escherichia coli,R497,Sugar-phosphatase,R00804,MRL,C00001; C00934,C00009; C11477,Km_C00009: 1.493807197; Km_C11477: 0.029106706; Km_C00001: 1.780349255; Km_C00934: 1.1010877193333333,Kcat_F: 1.568699909; Kcat_R: 0.012529496,C00001;C11477;C00934;C00009,C11477_KI: 0.029106706;C00934_KI: 1.1010877193333333;C00001_KI: 1.780349255;C00009_KI: 1.493807197
497,WP_001207520.1,3.2.2.3,Escherichia coli,R498,Uridine nucleosidase,R01080,MRL,C00001; C00299,C00106; C00121,Km_C00106: 0.159833461; Km_C00121: 1.594864488; Km_C00001: 1.072860003; Km_C00299: 0.408,Kcat_F: 6.1908783215; Kcat_R: 1.0371636755,C00121;C00001;C00106;C00299,C00106_KI: 0.159833461;C00299_KI: 0.139241353;C00001_KI: 1.072860003;C00121_KI: 1.594864488
498,WP_001076997.1,4.1.99.12,Escherichia coli,R499,"3,4-dihydroxy-2-butanone-4-phosphate synthase",R07281,MRL,C00199,C00058; C15556,Km_C00058: 1.207564116; Km_C15556: 0.6867227855; Km_C00199: 0.165881455,Kcat_F: 113.0132613; Kcat_R: 44.98780992,C00058;C15556;C00199,C15556_KI: 0.6867227855;C00058_KI: 1.207564116;C00199_KI: 0.165881455
499,WP_001139613.1,3.5.4.16,Escherichia coli,R500,Gtp cyclohydrolase i,R00424,MRL,C00001; C00044,C00058; C04895,Km_C00058: 2.090657711; Km_C04895: 0.103207149; Km_C00001: 1.314337969; Km_C00044: 0.201622397,Kcat_F: 2.828738227; Kcat_R: 8.696477815,C00058;C04895;C00001;C06148;C05922;C00044;C05923,C06148_KI: 0.141518265;C00044_KI: 0.201622397;C00001_KI: 1.314337969;C00058_KI: 2.090657711;C05923_KI: 0.115295619;C04895_KI: 0.103207149;C05922_KI: 0.155562088
504,WP_000842100.1,1.1.1.284,Escherichia coli,R505,S-(hydroxymethyl)glutathione dehydrogenase,R06983,MRL,C00003; C14180,C00004; C00080; C01031,Km_C00004: 0.030445978; Km_C00080: 1.122980118; Km_C01031: 0.091243312; Km_C00003: 0.050787397; Km_C14180: 0.094,Kcat_F: 92.401721085; Kcat_R: 54.59427182,C00006;C14180;C00003;C01031;C00004;C00005;C00080,C00004_KI: 0.030445978;C00006_KI: 0.045525763;C01031_KI: 0.091243312;C00003_KI: 0.050787397;C14180_KI: 0.22658403233333335;C00080_KI: 1.122980118;C00005_KI: 0.018521626
506,WP_000621515.1,4.1.1.11,Escherichia coli,R507,Aspartate 1-decarboxylase,R00489,MRL,C00049,C00011; C00099,Km_C00011: 0.525109112; Km_C00099: 0.438555807; Km_C00049: 0.312898159,Kcat_F: 2.781946591; Kcat_R: 2.1181892785,C00049;C00099;C00011,C00049_KI: 0.312898159;C00099_KI: 0.438555807;C00011_KI: 0.525109112
507,WP_000762229.1,1.1.1.28,Escherichia coli,R508,D-lactate dehydrogenase,R00704,MRL,C00003; C00256,C00004; C00022; C00080,Km_C00004: 0.08124999999999999; Km_C00022: 5.975; Km_C00080: 2.627151012; Km_C00003: 0.073235102; Km_C00256: 0.774313986,Kcat_F: 137.86074693; Kcat_R: 541.25,C00022;C00003;C00192;C02496;C01478;C00004;C19935;C00284;C00002;C00256;C11215;C01444;C00080,C00004_KI: 0.023764452;C00022_KI: 0.390749246;C00256_KI: 0.774313986;C11215_KI: 0.47078028508333336;C01478_KI: 0.46933794;C00284_KI: 0.065315142;C00080_KI: 2.627151012;C00192_KI: 0.538028598;C00002_KI: 0.039717551;C02496_KI: 0.076715402;C00003_KI: 0.073235102;C19935_KI: 0.074559651;C01444_KI: 0.496475339
508,WP_001247089.1,2.7.7.56,Escherichia coli,R509,Trna nucleotidyltransferase,R07285,MRL,C00009,C00066; C00454,Km_C00066: 1.240532398; Km_C00454: 1.240532398; Km_C00009: 1.240532398,Kcat_F: 0.260392996; Kcat_R: 36.94316617111479,C00454;C00009;C00066,C00066_KI: 1.240532398;C00454_KI: 1.240532398;C00009_KI: 1.240532398
509,WP_000105579.1,3.5.3.11,Escherichia coli,R510,Agmatinase,R01157,MRL,C00001; C00179,C00086; C00134,Km_C00086: 8.067173958; Km_C00134: 1.751440883; Km_C00001: 2.480346441; Km_C00179: 1.1,Kcat_F: 33.8639007215; Kcat_R: 1832.4476849750001,C00001;C00134;C00086;C00179,C00086_KI: 8.067173958;C00001_KI: 2.480346441;C00179_KI: 1.740367651;C00134_KI: 1.751440883
511,WP_001234777.1,3.5.4.13,Escherichia coli,R512,Dctp deaminase,R00568,MRL,C00001; C00063,C00014; C00075,Km_C00014: 1.225692034; Km_C00075: 0.117942363; Km_C00001: 0.953212798; Km_C00063: 0.041022114,Kcat_F: 2.1428582975; Kcat_R: 8.429879299000001,C06059;C11824;C00460;C00014;C00063;C00001;C00458;C00075,C00075_KI: 0.117942363;C00014_KI: 1.225692034;C00001_KI: 0.953212798;C06059_KI: 0.34225207414285713;C00458_KI: 0.013731435;C00460_KI: 0.036681134;C00063_KI: 0.041022114;C11824_KI: 0.007482641
513,WP_000183060.1,2.7.7.9,Escherichia coli,R514,Utp-glucose-1-phosphate uridylyltransferase,R00289,MRL,C00075; C00103,C00013; C00029,Km_C00013: 0.133076772; Km_C00029: 0.145372346; Km_C00075: 0.064; Km_C00103: 0.01,Kcat_F: 10.343449746000001; Kcat_R: 7.096409382,C00075;C00029;C00013;C00103,C00013_KI: 0.133076772;C00103_KI: 0.125316933;C00075_KI: 0.123954028;C00029_KI: 0.145372346
515,WP_000187778.1,1.17.4.2,Escherichia coli,R516,Ribonucleoside-triphosphate reductase (thioredoxin),R02014,MRL,C00001; C00131; C00343,C00002; C00342,Km_C00002: 0.07914836; Km_C00342: 0.5312879620000001; Km_C00001: 1.477914572; Km_C00131: 0.036800954; Km_C00343: 0.5312879620000001,Kcat_F: 5.938056921; Kcat_R: 13.13758241,C00286;C00343;C00342;C00131;C00460;C00063;C00001;C00458;C00044;C00002;C03802;C00075;C04283,C04283_KI: 0.2354620024444444;C00001_KI: 1.477914572;C00063_KI: 0.089707799;C00460_KI: 0.101273701;C00044_KI: 0.077046342;C03802_KI: 0.2354620024444444;C00342_KI: 0.2354620024444444;C00075_KI: 0.157546192;C00286_KI: 0.044696368;C00458_KI: 0.055023734;C00131_KI: 0.036800954;C00002_KI: 0.07914836;C00343_KI: 0.2354620024444444
519,WP_001090386.1,2.7.7.4,Escherichia coli,R520,Sulfate adenylyltransferase,R00529,MRL,C00002; C00059,C00013; C00224,Km_C00013: 0.165189147; Km_C00224: 0.03816171; Km_C00002: 0.066774674; Km_C00059: 0.773823857,Kcat_F: 6.062441745999999; Kcat_R: 3.2532021374999998,C00013;C00224;C00059;C05686;C00002;C05697,C00013_KI: 0.165189147;C00002_KI: 0.066774674;C00059_KI: 0.773823857;C05686_KI: 0.039098993;C05697_KI: 0.773823857;C00224_KI: 0.03816171
